date,Reconstruction_Error,err_norm,slope_norm,z_norm,Health_Score,Risk_Status
2016-01-08,0.008653952544165136,0.07938451999186992,0.42315932054982963,0.0,83.3,Normal
2016-01-09,0.00801377972850365,0.0734560255458508,0.42315932054982963,0.0,83.6,Normal
2016-01-10,0.00022092044747484097,0.0012881330081931132,0.42315932054982963,0.0,87.2,Normal
2016-01-11,0.00022092044747484097,0.0012881330081931132,0.42315932054982963,0.0,87.2,Normal
2016-01-12,0.00022092044747484097,0.0012881330081931132,0.42315932054982963,0.0,87.2,Normal
2016-01-13,0.00022092044747484097,0.0012881330081931132,0.42315932054982963,0.0,87.2,Normal
2016-01-14,0.00022092044747484097,0.0012881330081931132,0.42315932054982947,0.0,87.2,Normal
2016-01-15,0.00022092044747484097,0.0012881330081931132,0.42315932054982947,0.0,87.2,Normal
2016-01-16,0.00022092044747484097,0.0012881330081931132,0.42315932054982947,0.0,87.2,Normal
2016-01-17,0.00022092044747484097,0.0012881330081931132,0.42315932054982947,0.0,87.2,Normal
2016-01-18,0.00022092044747484097,0.0012881330081931132,0.42315932054982947,0.0,87.2,Normal
2016-01-19,0.00022092044747484097,0.0012881330081931132,0.42315932054982947,0.0,87.2,Normal
2016-01-20,0.00022092044747484097,0.0012881330081931132,0.42315932054982947,0.0,87.2,Normal
2016-01-21,0.00022092044747484097,0.0012881330081931132,0.42315932054982947,0.0,87.2,Normal
2016-01-22,0.00022092044747484097,0.0012881330081931132,0.42315932054982947,0.0,87.2,Normal
2016-01-23,0.00022092044747484097,0.0012881330081931132,0.42315932054982947,0.0,87.2,Normal
2016-01-24,0.00022092044747484097,0.0012881330081931132,0.42315932054982947,0.0,87.2,Normal
2016-01-25,0.00022092044747484097,0.0012881330081931132,0.42315932054982947,0.0,87.2,Normal
2016-01-26,0.00022092044747484097,0.0012881330081931132,0.42315932054982947,0.0,87.2,Normal
2016-01-27,0.00022092044747484097,0.0012881330081931132,0.42315932054982947,0.0,87.2,Normal
2016-01-28,0.00022092044747484097,0.0012881330081931132,0.42315932054982947,0.0,87.2,Normal
2016-01-29,0.00022092044747484097,0.0012881330081931132,0.42315932054982947,0.0,87.2,Normal
2016-01-30,0.00022092044747484097,0.0012881330081931132,0.42315932054982947,0.0,87.2,Normal
2016-01-31,0.00022092044747484097,0.0012881330081931132,0.42315932054982947,0.0,87.2,Normal
2016-02-01,0.00022092044747484097,0.0012881330081931132,0.35582255168453913,0.0,89.3,Normal
2016-02-02,0.00620814705859041,0.05673447318803902,0.3622179175319116,0.0,86.3,Normal
2016-02-03,0.007251951992900271,0.06640091263125274,0.3739633579707467,0.0,85.5,Normal
2016-02-04,0.012257927368397517,0.11276010890527438,0.3910588730010468,0.0,82.6,Normal
2016-02-05,0.014841392355850322,0.13668498896094003,0.41350446262281026,0.0,80.8,Normal
2016-02-06,0.0149900413462911,0.13806159336005672,0.4413001268360374,0.15858316956622176,76.7,Normal
2016-02-07,0.012530030037745396,0.11527998966951616,0.47444586564072894,0.14962918967723232,77.0,Normal
2016-02-08,0.0073922382936453136,0.06770007206831845,0.42315932054982985,0.1410722291313483,81.1,Normal
2016-02-09,0.00723066216897745,0.06620375242732755,0.42315932054982985,0.13285559150271273,81.3,Normal
2016-02-10,9.453418892120638e-05,0.00011769869177476681,0.42315932054982985,0.12492969528524238,84.8,Normal
2016-02-11,9.453418892120638e-05,0.00011769869177476681,0.42315932054982985,0.11725053234806324,85.0,Normal
2016-02-12,9.453418892120638e-05,0.00011769869177476681,0.42315932054982985,0.10977842052159732,85.1,Normal
2016-02-13,9.453418892120638e-05,0.00011769869177476681,0.42315932054982985,0.10247696604345616,85.2,Normal
2016-02-14,9.453418892120638e-05,0.00011769869177476681,0.42315932054982985,0.0953121716225302,85.4,Normal
2016-02-15,9.453418892120638e-05,0.00011769869177476681,0.42315932054982985,0.08825163862028496,85.5,Normal
2016-02-16,9.453418892120638e-05,0.00011769869177476681,0.42315932054982985,0.081263819165643,85.7,Normal
2016-02-17,9.453418892120638e-05,0.00011769869177476681,0.42315932054982985,0.07431727686697541,85.8,Normal
2016-02-18,9.453418892120638e-05,0.00011769869177476681,0.42315932054982985,0.06737991339063447,86.0,Normal
2016-02-19,9.453418892120638e-05,0.00011769869177476681,0.42315932054982985,0.06041811206051833,86.1,Normal
2016-02-20,9.453418892120638e-05,0.00011769869177476681,0.42315932054982985,0.05339573744626176,86.2,Normal
2016-02-21,9.453418892120638e-05,0.00011769869177476681,0.42315932054982985,0.04627290901697785,86.4,Normal
2016-02-22,9.453418892120638e-05,0.00011769869177476681,0.42315932054982985,0.0390044326044302,86.5,Normal
2016-02-23,9.453418892120638e-05,0.00011769869177476681,0.42315932054982985,0.0315377171917115,86.7,Normal
2016-02-24,9.453418892120638e-05,0.00011769869177476681,0.42315932054982985,0.023809911085507212,86.8,Normal
2016-02-25,9.453418892120638e-05,0.00011769869177476681,0.42315932054982985,0.01574383216835371,87.0,Normal
2016-02-26,9.453418892120638e-05,0.00011769869177476681,0.42315932054982985,0.0072419859359960205,87.2,Normal
2016-02-27,9.453418892120638e-05,0.00011769869177476681,0.42315932054982985,0.001822551025867131,87.3,Normal
2016-02-28,9.453418892120638e-05,0.00011769869177476681,0.42315932054982985,0.011620599394227497,87.1,Normal
2016-02-29,9.453418892120638e-05,0.00011769869177476681,0.42315932054982985,0.02239094729309607,86.9,Normal
2016-03-01,9.453418892120638e-05,0.00011769869177476681,0.48467747976467035,0.7771003941865349,69.9,Warning
2016-03-02,0.012275290906998122,0.11292090867627147,0.3365458052839614,0.9036769629332273,66.2,Warning
2016-03-03,0.032147357205541856,0.2969515825812647,0.23095600460628382,0.6577086465828503,65.1,Warning
2016-03-04,0.041009160652946255,0.3790187232569646,0.16790807773163832,0.536059988409937,65.3,Warning
2016-03-05,0.04210782396098648,0.3891931935881223,0.14740202466002472,0.4593787270338869,66.9,Warning
