date,Reconstruction_Error,err_norm,slope_norm,z_norm,Health_Score,Risk_Status
2016-01-08,0.023130423027833066,0.22296370970509677,0.6569311011012965,0.0,69.1,Warning
2016-01-09,0.023064633817010894,0.22231854363372583,0.6569311011012965,0.0,69.2,Warning
2016-01-10,0.0003942514366757036,0.0,0.6569311011012965,0.0,80.3,Normal
2016-01-11,0.0003942514366757036,0.0,0.6569311011012965,0.0,80.3,Normal
2016-01-12,0.0003942514366757036,0.0,0.6569311011012965,0.0,80.3,Normal
2016-01-13,0.0003942514366757036,0.0,0.6569311011012965,0.0,80.3,Normal
2016-01-14,0.0003942514366757036,0.0,0.6569311011012967,0.0,80.3,Normal
2016-01-15,0.0003942514366757036,0.0,0.6569311011012967,0.0,80.3,Normal
2016-01-16,0.0003942514366757036,0.0,0.6569311011012967,0.0,80.3,Normal
2016-01-17,0.0003942514366757036,0.0,0.6569311011012967,0.0,80.3,Normal
2016-01-18,0.0003942514366757036,0.0,0.6569311011012967,0.0,80.3,Normal
2016-01-19,0.0003942514366757036,0.0,0.6569311011012967,0.0,80.3,Normal
2016-01-20,0.0003942514366757036,0.0,0.6569311011012967,0.0,80.3,Normal
2016-01-21,0.0003942514366757036,0.0,0.6569311011012967,0.0,80.3,Normal
2016-01-22,0.0003942514366757036,0.0,0.6569311011012967,0.0,80.3,Normal
2016-01-23,0.0003942514366757036,0.0,0.6569311011012967,0.0,80.3,Normal
2016-01-24,0.0003942514366757036,0.0,0.6569311011012967,0.0,80.3,Normal
2016-01-25,0.0003942514366757036,0.0,0.6569311011012967,0.0,80.3,Normal
2016-01-26,0.0003942514366757036,0.0,0.6569311011012967,0.0,80.3,Normal
2016-01-27,0.0003942514366757036,0.0,0.6569311011012967,0.0,80.3,Normal
2016-01-28,0.0003942514366757036,0.0,0.6569311011012967,0.0,80.3,Normal
2016-01-29,0.0003942514366757036,0.0,0.6569311011012967,0.0,80.3,Normal
2016-01-30,0.0003942514366757036,0.0,0.6569311011012967,0.0,80.3,Normal
2016-01-31,0.0003942514366757036,0.0,0.6569311011012967,0.0,80.3,Normal
2016-02-01,0.0003942514366757036,0.0,0.5755010065440002,0.0,82.7,Normal
2016-02-02,0.02277292458198612,0.2194578785065478,0.6910924095085232,0.0,68.3,Warning
2016-02-03,0.03358339415653798,0.32547143449737265,0.7772011331023493,0.0,60.4,Warning
2016-02-04,0.06060134083247838,0.5904246433227778,0.8338271773254783,0.0,45.5,Warning
2016-02-05,0.06418636062789716,0.6255813674769733,0.86097054217791,0.0,42.9,Warning
2016-02-06,0.06180007078467143,0.6021800646787427,0.8586312276596454,0.38197872706954317,36.5,High Risk
2016-02-07,0.05047028314580667,0.49107378313067823,0.826809233770684,0.3452810745598851,43.7,Warning
2016-02-08,0.039614717367296014,0.38461798835361105,0.6569311011012967,0.3153020462752073,54.8,Warning
2016-02-09,0.036066252156038016,0.34981973904899766,0.6569311011012967,0.29006461183434085,57.0,Warning
2016-02-10,0.00043133591676873485,0.0003636713076726986,0.6569311011012967,0.2683160809647455,74.9,Normal
2016-02-11,0.00043133591676873485,0.0003636713076726986,0.6569311011012967,0.24921759201451218,75.3,Normal
2016-02-12,0.00043133591676873485,0.0003636713076726986,0.6569311011012967,0.23218212530410748,75.6,Normal
2016-02-13,0.00043133591676873485,0.0003636713076726986,0.6569311011012967,0.21678370641367906,75.9,Normal
2016-02-14,0.00043133591676873485,0.0003636713076726986,0.6569311011012967,0.20270348901523258,76.2,Normal
2016-02-15,0.00043133591676873485,0.0003636713076726986,0.6569311011012967,0.18969616388117758,76.5,Normal
2016-02-16,0.00043133591676873485,0.0003636713076726986,0.6569311011012967,0.17756814564878742,76.7,Normal
2016-02-17,0.00043133591676873485,0.0003636713076726986,0.6569311011012967,0.16616286331547,77.0,Normal
2016-02-18,0.00043133591676873485,0.0003636713076726986,0.6569311011012967,0.15535046689793877,77.2,Normal
2016-02-19,0.00043133591676873485,0.0003636713076726986,0.6569311011012967,0.14502032826346803,77.4,Normal
2016-02-20,0.00043133591676873485,0.0003636713076726986,0.6569311011012967,0.1350753026184544,77.6,Normal
2016-02-21,0.00043133591676873485,0.0003636713076726986,0.6569311011012967,0.12542704114324343,77.8,Normal
2016-02-22,0.00043133591676873485,0.0003636713076726986,0.6569311011012967,0.11599180667334168,78.0,Normal
2016-02-23,0.00043133591676873485,0.0003636713076726986,0.6569311011012967,0.1066862842069239,78.1,Normal
2016-02-24,0.00043133591676873485,0.0003636713076726986,0.6569311011012967,0.09742279206255756,78.3,Normal
2016-02-25,0.00043133591676873485,0.0003636713076726986,0.6569311011012967,0.08810302678395872,78.5,Normal
2016-02-26,0.00043133591676873485,0.0003636713076726986,0.6569311011012967,0.07860884364216061,78.7,Normal
2016-02-27,0.00043133591676873485,0.0003636713076726986,0.6569311011012967,0.06878713723880044,78.9,Normal
2016-02-28,0.00043133591676873485,0.0003636713076726986,0.6569311011012967,0.05842240120181943,79.1,Normal
2016-02-29,0.00043133591676873485,0.0003636713076726986,0.6569311011012967,0.04718113895251038,79.3,Normal
2016-03-01,0.00043133591676873485,0.0003636713076726986,0.5179245217266205,0.6171115531739922,72.1,Normal
2016-03-02,0.026090247497967834,0.2519894162226282,0.712626587008677,0.7406910922386685,51.2,Warning
2016-03-03,0.032269158801414594,0.3125833020767909,0.857873139349456,0.5821340184290507,47.0,Warning
2016-03-04,0.05985462355209969,0.5831019129208448,0.9536641787489585,0.4900263125026002,32.4,High Risk
2016-03-05,0.060996276154857906,0.5942976016270494,0.999999705207184,0.42743005715264243,31.7,High Risk
2016-03-06,0.06196896823176792,0.6038363682131073,0.9968797187241326,0.3809747374487731,32.3,High Risk
2016-03-07,0.05068828890819759,0.4932116704757347,0.9443042192998039,0.34448107552570456,40.1,Warning
2016-03-08,0.035058561242661435,0.33993775415185945,0.6569311011012965,0.31464297486289144,57.0,Warning
2016-03-09,0.03212829604565074,0.3112019225222573,0.6569311011012965,0.28950773370072397,58.9,Warning
