Day,Reconstruction_Error,Risk_Status
0,0.04079901970267071,Warning
1,0.04174716626646518,Warning
2,0.03904919958189941,Warning
3,0.037127098532454626,Warning
4,0.035658330050300655,Warning
5,0.03383019732685038,Normal
6,0.031881681381687794,Normal
7,0.029491957080281534,Normal
8,0.028389908853377974,Normal
9,0.028241800749014945,Normal
10,0.028845010015310358,Normal
11,0.02834612913498651,Normal
12,0.028467873854806112,Normal
13,0.02735538208318745,Normal
14,0.027545922577805464,Normal
15,0.026777942613985826,Normal
16,0.026638767648247914,Normal
17,0.026261767387582412,Normal
18,0.02567082504013834,Normal
19,0.025949162306137676,Normal
20,0.025353618568308655,Normal
21,0.02589904383749639,Normal
22,0.026264889119164535,Normal
23,0.02679429638829553,Normal
24,0.02731865408104035,Normal
25,0.02805827804310182,Normal
26,0.02841926364291674,Normal
27,0.029386977606174012,Normal
28,0.029439547265954574,Normal
29,0.029176737852868707,Normal
30,0.029239034200352582,Normal
31,0.028799056588983747,Normal
32,0.029132232805804688,Normal
33,0.029134356539763206,Normal
34,0.02927531835101311,Normal
35,0.02946325014905418,Normal
36,0.02875937648540155,Normal
37,0.02784250193129348,Normal
38,0.028035794703039463,Normal
39,0.02790163730269166,Normal
40,0.02786069214763484,Normal
41,0.02741171611203704,Normal
42,0.027298810682513917,Normal
43,0.02810435339544113,Normal
44,0.027513782015218657,Normal
45,0.027333775905001113,Normal
46,0.02684301954129043,Normal
47,0.02669858742411067,Normal
48,0.026826348557158354,Normal
49,0.026035234035388544,Normal
50,0.026214339323082352,Normal
51,0.02660437243664484,Normal
52,0.026190247767044733,Normal
53,0.02627875275678813,Normal
54,0.02588232783760563,Normal
55,0.02642758312483415,Normal
56,0.02615113941651026,Normal
57,0.025926276308919905,Normal
58,0.026488805809971216,Normal
59,0.0268745552600114,Normal
60,0.02729541952114468,Normal
61,0.027183693979381973,Normal
62,0.027168877432429708,Normal
63,0.026920282560354787,Normal
64,0.026722543600405407,Normal
65,0.027021173622476326,Normal
66,0.026961629597027758,Normal
67,0.02692171363208141,Normal
68,0.02732251009299121,Normal
69,0.027061334216505716,Normal
70,0.027473139113089313,Normal
71,0.02731921249261469,Normal
72,0.026970438542439377,Normal
73,0.026624938394150453,Normal
74,0.026362123818838575,Normal
75,0.026098859872757615,Normal
76,0.026279827945391066,Normal
77,0.02662543370102532,Normal
78,0.02718048962271449,Normal
79,0.02669425373704589,Normal
80,0.026400817413281295,Normal
81,0.026694396093440875,Normal
82,0.026613187893395115,Normal
83,0.02689601194959536,Normal
84,0.0266021524174458,Normal
85,0.026743245860726312,Normal
86,0.02744379899717165,Normal
87,0.02763656427031985,Normal
88,0.028384151117192287,Normal
89,0.02895691011677465,Normal
90,0.02906282941144848,Normal
91,0.029193337889469706,Normal
92,0.029430557243951515,Normal
93,0.030029968365536504,Normal
94,0.030871710114986857,Normal
95,0.031180959290232985,Normal
96,0.03177657926466312,Normal
97,0.03174798636632854,Normal
98,0.03290820018520682,Normal
99,0.03406793167870142,Normal
100,0.03402763568247363,Normal
101,0.034868325612038086,Warning
102,0.03471157241624755,Warning
103,0.03420559433992342,Normal
104,0.033557941819066656,Normal
105,0.0335498245384636,Normal
106,0.03284036977125384,Normal
107,0.03223059787857414,Normal
108,0.03096862820967584,Normal
109,0.02984938662060433,Normal
110,0.028693890739791554,Normal
111,0.027653433215525318,Normal
112,0.026061857071658756,Normal
113,0.024808662006265608,Normal
114,0.025048425396602143,Normal
115,0.02474459197710669,Normal
116,0.02437439609391647,Normal
117,0.024469844745149426,Normal
118,0.025181327830142236,Normal
119,0.025678045416180184,Normal
120,0.02655927234945896,Normal
121,0.026773085624701907,Normal
